University,Type,City,State,Established,University status,times,arwu,qs,us_news,cwts
Australian Catholic University,Public,"Sydney, Brisbane, Canberra, Ballarat, Melbourne",National,1862,1991,251-300,501-600,801-1000,624=,1000+
Australian National University,Public,Canberra,ACT,1946,1946,59,67,31=,69=,209
Bond University,Private (Australian),Gold Coast,QLD,1987,1987,501-600,901-1000,414,1000+,N/A
Carnegie Mellon University (Australia campus),Private (International),Adelaide,SA,2006,2006,-,-,-,-,-
Central Queensland University,Public,"Rockhampton, Mackay, Brisbane, Sydney, Perth, Townsville, Melbourne, Adelaide, Bundaberg, Gladstone, Noosa",QLD,1967,1992,801-1000,N/A,601–650,936=,N/A
Charles Darwin University,Public,Darwin,NT,1989,2003,501-600,N/A,551–600,841=,N/A
Charles Sturt University,Public,"Albury, Bathurst, Wagga Wagga, Orange, Port Macquarie, Brisbane, Sydney (For international students only), Melbourne",NSW,1948,1989,801-1000,N/A,701+,710=,1000+
Curtin University,Public,"Perth, Singapore, Miri, Dubai, Mauritius",WA,1966,1986,201-250,201-300,230,190=,271
Deakin University,Public,"Melbourne, Geelong, Warrnambool",VIC,1974,1974,251–300,201-300,271,247=,316
Edith Cowan University,Public,Perth,WA,1902,1991,401–500,601-700,651–700,599=,1000+
Federation University Australia,Public,"Ballarat, Churchill, Berwick, Horsham",VIC,1870,1994,801-1000,N/A,N/A,1000+,N/A
Flinders University,Public,Adelaide,SA,1966,1966,251-300,401-500,424,427=,511
Griffith University,Public,"Brisbane, Gold Coast",QLD,1971,1971,201-250,301-400,320,242=,291
James Cook University,Public,"Cairns, Singapore and Townsville (main)",QLD,1970,1970,201-250,301-400,377,271=,555
La Trobe University,Public,"Melbourne, Bendigo, Shepparton, Wodonga, Sydney",VIC,1964,1964,201-250,301-400,400,408=,527
Macquarie University,Public,Sydney,NSW,1964,1964,195,201-300,237,227=,378
Monash University,Public,"Melbourne, Selangor",VIC,1958,1958,64=,85,58,59=,52
Murdoch University,Public,Perth,WA,1973,1973,501-600,601-700,571-580,637,829
Queensland University of Technology,Public,Brisbane,QLD,1908,1989,186,301-400,224,224=,326
RMIT University,Public,Melbourne,VIC,1887,1992,301-350,301-400,238,315=,418
Southern Cross University,Public,"Coffs Harbour, Lismore, Tweed Heads, Gold Coast, Sydney (For international students only), Melbourne (For international students only)",NSW,1954,1994,601-800,901-1000,751-800,898=,N/A
Swinburne University of Technology,Public,"Melbourne, Kuching",VIC,1908,1992,351–400,201-300,383,358=,715
Torrens University Australia,Private (International),"Adelaide, Melbourne, Sydney, Brisbane, Auckland","National,  New Zealand",2014,2014,N/A,N/A,N/A,N/A,N/A
University of Adelaide,Public,Adelaide,SA,1874,1874,118=,151-200,106,80,185
University of Canberra,Public,Canberra,ACT,1967,1990,184=,601-700,484=,645=,1000+
University of Divinity,Private (Australian),"Melbourne, Adelaide, Sydney",National,1910,2012,N/A,N/A,N/A,N/A,N/A
University of Melbourne,Public,Melbourne,VIC,1853,1853,31,35,41,26,28
University of New England,Public,"Armidale, Sydney",NSW,1938,1954,N/A,501-600,801-1000,729=,959
University of New South Wales,Public,"Sydney, Canberra",NSW,1833,1949,67,74,44,64=,53
University of Newcastle,Public,"Newcastle, Central Coast (Ourimbah), a suburb of Gosford, Port Macquarie, Sydney, Singapore",NSW,1951,1965,251-300,301–400,197=,274=,342
University of Notre Dame Australia,Private (Australian),"Fremantle, Broome, Sydney",WA,1989,1989,N/A,N/A,N/A,N/A,N/A
University of Queensland,Public,Brisbane,QLD,1909,1909,62=,54,46,42,37
University of South Australia,Public,"Adelaide, Whyalla, Mount Gambier",SA,1856,1991,301-350,501-600,295=,395=,503
University of Southern Queensland,Public,"Ipswich, Springfield and Toowoomba",QLD,1967,1992,501-600,801-900,701-750,870=,N/A
University of Sydney,Public,Sydney,NSW,1850,1850,51=,74=,40,27,32
University of Tasmania,Public,"Hobart, Launceston, Burnie, Sydney",TAS,1890,1890,351-400,201–300,308=,319=,451
University of Technology Sydney[9],Public,Sydney,NSW,1870,1988,160=,201-300,133=,198=,422
University of the Sunshine Coast,Public,Sunshine Coast,QLD,1994,1994,601-800,801-900,N/A,976=,N/A
University of Western Australia,Public,Perth,WA,1911,1911,139,85,92,86,176
University of Wollongong,Public,"Wollongong, Batemans Bay, Bega, Moss Vale, Nowra, Sydney, Dubai, Subang Jaya",NSW,1951,1975,201-250,201-300,196,247=,359
Victoria University,Public,"Melbourne, Sydney",VIC,1916,1990,351–400,901-1000,551-560,485=,1000+
Western Sydney University,Public,Sydney,NSW,1891,1989,251-300,301-400,474=,279=,578